ColorID,ACCode,LValue,AValue,BValue,RGB
13566,"A70.337.419",4.7604830999999997e+01,4.2728862999999997e+01,7.9715670000000003e+00,"B45065"
13568,"Z12.361.413",4.7068421999999998e+01,4.6169885000000001e+01,-1.0767975000000000e+01,"AF4D82"
13569,"Y01.336.402",4.5964883000000000e+01,3.8661361999999997e+01,-2.2098117999999999e+01,"9A5491"
13570,"U99.351.435",4.9239617000000003e+01,1.0367177000000000e+01,-3.8833387000000002e+01,"5B73B6"
13571,"T96.396.447",5.0469855000000003e+01,-3.8249899999999998e-01,-3.9935884999999999e+01,"387CBB"
13574,"F17.504.612",6.6971057000000002e+01,1.2737213000000001e+01,5.8042290000000001e+01,"D29934"
13575,"E73.496.586",6.4306781000000001e+01,1.8818878999999999e+01,5.4848022999999998e+01,"D28D35"
13577,"D94.485.534",5.9164549999999998e+01,2.8569313999999999e+01,4.7924855000000001e+01,"CF7938"
13578,"D52.450.514",5.7124873000000001e+01,3.1873480000000001e+01,4.2041707000000002e+01,"CC7140"
13579,"D25.447.492",5.4913955999999999e+01,3.4554430000000004e+01,3.9514972000000000e+01,"C8693F"
13582,"B90.381.433",4.9000815000000003e+01,4.1586624000000000e+01,2.2591044000000000e+01,"BC5450"
13583,"R52.601.411",4.6892004000000000e+01,-2.6608682999999999e+01,-3.5214826000000002e+01,"007EA8"
13584,"L61.604.448",5.0518825000000000e+01,-5.6054631000000001e+01,2.1283539000000001e+01,"008D51"
13586,"K09.550.489",5.4624212000000000e+01,-4.1657184000000001e+01,3.9546669000000001e+01,"469339"
13587,"J24.507.495",5.5288876000000002e+01,-2.9214867999999999e+01,4.3856319999999997e+01,"689032"
13588,"H37.563.505",5.6279440999999998e+01,-2.0558969000000001e+01,5.4699368000000000e+01,"7F8F19"
13589,"H02.557.526",5.8368442999999999e+01,-1.5656832000000000e+01,5.6985272999999999e+01,"8D9219"
13590,"G68.570.557",6.1433425000000000e+01,-1.1081394000000000e+01,6.1416531999999997e+01,"9E9813"
13591,"G47.606.575",6.3282395000000001e+01,-8.3095479999999995e+00,6.7039671999999996e+01,"A99B00"
13592,"G20.601.593",6.5081551000000005e+01,-3.6857400000000000e+00,6.8064290000000000e+01,"B69D00"
13593,"F97.608.575",6.3256616000000001e+01,4.1547400000000001e-01,6.7252520000000004e+01,"B79600"
13594,"B59.491.316",3.7335963000000000e+01,4.9486992999999998e+01,2.2010535000000001e+01,"A22B37"
13595,"A96.453.329",3.8670391000000002e+01,5.0698571999999999e+01,1.3098426000000000e+01,"A62D48"
13596,"Z97.421.286",3.4367595000000001e+01,4.7393783999999997e+01,-2.7769300000000002e-01,"912852"
13597,"V18.447.346",4.0385460999999999e+01,1.4832799000000000e+01,-4.6264434000000001e+01,"3E5CAA"
13598,"U09.459.360",4.1767919999999997e+01,1.1095330000000001e+00,-4.3737980000000000e+01,"0066A9"
13599,"S97.506.409",4.6655588999999999e+01,-1.1233926000000000e+01,-4.0858642000000003e+01,"0078B2"
13600,"F53.612.597",6.5472324999999998e+01,8.3942270000000008e+00,6.9203823000000000e+01,"C99701"
13601,"F22.607.592",6.4974427000000006e+01,1.4030217000000000e+01,6.8377703999999994e+01,"D09207"
13602,"E79.625.562",6.1934928999999997e+01,2.1928471999999999e+01,6.7425145999999998e+01,"D18500"
13603,"E27.586.522",5.7997813000000001e+01,2.8488512000000000e+01,5.8897435999999999e+01,"CD761B"
13606,"D30.525.450",5.0717334999999999e+01,3.7922220000000003e+01,4.4569259000000002e+01,"C15B2C"
13607,"C98.529.423",4.8091448999999997e+01,4.1939360999999998e+01,4.1549044000000002e+01,"BD512C"
13608,"C43.491.390",4.4711371999999997e+01,4.4685611999999999e+01,3.3018918999999997e+01,"B54535"
13609,"C04.453.368",4.2595453999999997e+01,4.4409435000000002e+01,2.6347124000000001e+01,"AD403B"
13610,"J96.631.445",5.0248652000000000e+01,-4.3411060999999997e+01,4.4115133000000000e+01,"388823"
13611,"J08.611.477",5.3407155000000003e+01,-3.2060997000000000e+01,5.2782133000000002e+01,"618C14"
13612,"C00.606.266",3.2305888000000003e+01,5.2582281999999999e+01,3.0472474999999999e+01,"98121F"
13614,"E31.653.536",5.9392285000000001e+01,3.1627136000000000e+01,6.6774230000000003e+01,"D67700"
13615,"E00.637.500",5.5755408000000003e+01,3.5080435000000001e+01,6.0924880000000002e+01,"CF6A0D"
13616,"D34.632.455",5.1258262000000002e+01,4.5181260999999999e+01,5.4263351999999998e+01,"CD5518"
13617,"D00.620.405",4.6234265999999998e+01,4.7739069000000001e+01,4.7870409000000002e+01,"C0451C"
13618,"C58.618.350",4.0740332000000002e+01,5.1121468000000000e+01,4.1157590999999996e+01,"B2311E"
13619,"C28.611.342",3.9900917999999997e+01,5.4655605999999999e+01,3.7195267000000001e+01,"B32824"
13622,"KNN.020.692",7.4911375000000007e+01,-2.0055990000000001e+00,1.7953090000000000e+00,"B6BAB4"
13624,"G2N.031.690",7.4747000999999997e+01,-3.0373400000000000e-01,3.9035280000000001e+00,"BBB8AF"
13626,"P7N.038.634",6.9167246000000006e+01,-3.6699989999999998e+00,-1.7605949999999999e+00,"A0ABAB"
13627,"M5N.037.632",6.8975887999999998e+01,-4.3865930000000004e+00,4.7202899999999998e-01,"A0ABA6"
13628,"J6N.043.641",6.9821331999999998e+01,-3.4194000000000000e+00,4.1480540000000001e+00,"A7ACA2"
13633,"F4N.090.641",6.9892996999999994e+01,1.4377439999999999e+00,1.0743995000000000e+01,"B5A996"
13636,"R6N.073.623",6.8052580000000006e+01,-3.9508000000000001e+00,-5.6316730000000002e+00,"99A9AE"
13637,"Q7N.066.622",6.7957144999999997e+01,-4.8761229999999998e+00,-4.2554410000000003e+00,"98A9AC"
13639,"N7N.058.625",6.8294117000000000e+01,-6.3875510000000002e+00,-1.2791049999999999e+00,"99AAA7"
13642,"K7N.075.625",6.8216177000000002e+01,-7.7595060000000000e+00,5.2445040000000001e+00,"9CAA9B"
13644,"H45.100.633",6.9090574000000004e+01,-4.4976739999999999e+00,1.1267400000000000e+01,"A9AB93"
13648,"B0N.045.611",6.6876818000000000e+01,6.8210050000000004e+00,2.0091329999999998e+00,"B19F9E"
13649,"Z8N.047.611",6.6897779999999997e+01,7.3813190000000004e+00,-3.6732700000000001e-01,"B09FA2"
13653,"S5N.071.615",6.7299293000000006e+01,-2.6097950000000001e+00,-6.3561850000000000e+00,"99A6AE"
13656,"F15.121.633",6.9074734000000007e+01,3.2054090000000000e+00,1.4225415999999999e+01,"B9A68E"
13659,"D97.104.634",6.9115172000000001e+01,6.7136389999999997e+00,1.1424029000000001e+01,"BDA493"
13661,"D5N.089.615",6.7218620999999999e+01,7.0517709999999996e+00,9.2363049999999998e+00,"B79F92"
13665,"R83.147.589",6.4648492000000005e+01,-7.1997280000000003e+00,-1.1344194999999999e+01,"83A2AF"
13667,"P64.138.598",6.5588471999999996e+01,-1.2853482000000000e+01,-5.9122990000000000e+00,"7FA7A8"
13668,"N99.121.592",6.4903366000000005e+01,-1.2306934999999999e+01,-3.2763290000000000e+00,"81A4A2"
13669,"N17.133.592",6.4934960000000004e+01,-1.4734332999999999e+01,-6.5655100000000000e-01,"7FA59D"
13670,"M34.137.594",6.5143995000000004e+01,-1.5683064000000000e+01,2.7164280000000001e+00,"80A698"
13675,"G17.187.627",6.8499824000000004e+01,-1.0258769999999999e+00,2.2029769999999999e+01,"B4A67E"
13676,"B12.102.567",6.2471443000000001e+01,1.4530514000000000e+01,4.4244909999999997e+00,"B38E8F"
13677,"A87.101.572",6.2981738999999997e+01,1.4826103000000000e+01,3.4581420000000000e+00,"B58F92"
13678,"Z1N.080.561",6.1861175000000003e+01,1.1690514000000000e+01,-2.7149009999999998e+00,"A88F99"
13686,"E60.204.603",6.6012274000000005e+01,8.7684230000000003e+00,2.2901277000000000e+01,"BE9A77"
13688,"D80.190.596",6.5391501000000005e+01,1.2886433000000000e+01,1.9863657000000000e+01,"C1967B"
13689,"D49.166.577",6.3475473999999998e+01,1.2689136000000000e+01,1.6534725000000002e+01,"BA917C"
13692,"C23.135.576",6.3399099000000000e+01,1.5902182000000000e+01,1.0546531000000000e+01,"BC8F86"
13696,"N88.196.561",6.1869014000000000e+01,-1.9597940999999999e+01,-4.6205999999999996e+00,"66A09C"
13705,"A80.158.505",5.6262721999999997e+01,2.1791837999999998e+01,4.6694259999999996e+00,"AE797F"
13706,"Z37.145.512",5.6936366999999997e+01,2.0617695999999999e+01,-3.4171200000000002e+00,"A97C8E"
13707,"X05.135.526",5.8362363999999999e+01,1.4375529999999999e+01,-1.3964368000000000e+01,"9B85A4"
13710,"S64.204.525",5.8217463000000002e+01,-6.3745729999999998e+00,-1.7201331000000000e+01,"6C91A8"
13714,"E39.279.573",6.3039738000000000e+01,1.3339601999999999e+01,2.9834569999999999e+01,"BF8F63"
13718,"C85.227.530",5.8785150000000002e+01,2.1149059999999999e+01,1.9607409000000001e+01,"BB7F6B"
13719,"C38.193.517",5.7405524999999997e+01,2.0447374000000000e+01,1.4772970000000001e+01,"B47C70"
13720,"C05.181.521",5.7894421000000001e+01,2.0991198000000001e+01,1.2519109000000000e+01,"B57D75"
13721,"R89.306.499",5.5628252000000003e+01,-1.3397990999999999e+01,-2.1811782999999998e+01,"498EA9"
13722,"Q87.307.502",5.5963816000000001e+01,-1.9073028000000001e+01,-1.7910148000000000e+01,"3E91A3"
13723,"Q24.300.509",5.6640974000000000e+01,-2.2262513999999999e+01,-1.4829139000000000e+01,"3B94A0"
13724,"P52.302.517",5.7415458000000001e+01,-2.6101096999999999e+01,-1.1008635000000000e+01,"37979B"
13725,"P13.298.513",5.7046875999999997e+01,-2.7162459999999999e+01,-8.3456139999999994e+00,"389695"
13726,"N91.278.516",5.7387087000000001e+01,-2.6136399999999998e+01,-6.4174590000000000e+00,"429793"
13732,"K94.292.509",5.6619481000000000e+01,-2.7239621000000000e+01,1.6228808000000001e+01,"5D946A"
13733,"K25.289.522",5.7938015999999998e+01,-2.3774684000000001e+01,2.0849391000000001e+01,"6C9665"
13734,"J41.292.536",5.9373632999999998e+01,-1.8950337999999999e+01,2.5888234000000001e+01,"7D9760"
13736,"H28.326.561",6.1834283999999997e+01,-1.1952159000000000e+01,3.4274301000000001e+01,"959A56"
13737,"G86.338.567",6.2436517000000002e+01,-8.4290669999999999e+00,3.6619695000000000e+01,"9E9A54"
13738,"G52.346.563",6.2035660000000000e+01,-5.2008229999999998e+00,3.7686008000000001e+01,"A39751"
13739,"G40.366.574",6.3184553000000001e+01,-4.2758820000000002e+00,4.0493361000000000e+01,"A8994E"
13741,"B40.226.456",5.1386715000000002e+01,2.7744385000000001e+01,1.0726222999999999e+01,"AC6869"
13742,"A80.226.440",4.9784329999999997e+01,2.9075899000000000e+01,6.1942690000000002e+00,"A7636C"
13747,"V98.218.456",5.1351652999999999e+01,1.4152438000000000e+01,-2.4798905999999999e+01,"7D74A4"
13749,"T99.278.468",5.2564087999999998e+01,-4.4927000000000002e-02,-2.8714099999999998e+01,"5B80AD"
13750,"S87.292.485",5.4289403999999998e+01,-7.4786419999999998e+00,-2.4684519000000002e+01,"5288AB"
13752,"F13.358.560",6.1773561999999998e+01,8.9490040000000004e+00,3.8918672000000001e+01,"B88E4F"
13754,"E33.357.540",5.9793411999999996e+01,1.7083355999999998e+01,3.6751947000000001e+01,"BE844F"
13756,"D59.330.514",5.7116638000000002e+01,2.2688834000000000e+01,3.1060317999999999e+01,"BC7953"
13757,"D18.305.501",5.5804732999999999e+01,2.4489080999999999e+01,2.7011327999999999e+01,"BA7457"
13761,"R87.409.431",4.8804530999999997e+01,-1.6744541999999999e+01,-2.6882760999999999e+01,"007EA0"
13763,"Q06.409.452",5.0978369999999998e+01,-2.9442004000000001e+01,-1.7653441999999998e+01,"008895"
13765,"P11.409.471",5.2894421999999999e+01,-3.5500095999999999e+01,-1.0681816000000000e+01,"008F8E"
13766,"N75.384.467",5.2454335000000000e+01,-3.4560684999999999e+01,-6.9655550000000002e+00,"008D87"
13768,"N09.416.462",5.1934502999999999e+01,-3.9241764000000003e+01,-1.0172250000000000e+00,"008D7B"
13775,"H59.404.495",5.5215412000000001e+01,-1.6815899999999999e+01,3.8025246000000003e+01,"7D8B3F"
13776,"H18.391.516",5.7316276999999999e+01,-1.2492240000000001e+01,3.9104937999999997e+01,"8A8E42"
13777,"G78.415.526",5.8354928999999998e+01,-8.9717959999999994e+00,4.2896436000000001e+01,"948F3D"
13780,"G04.459.542",5.9956277000000000e+01,-5.5023200000000005e-01,4.8874400000000001e+01,"A88F35"
13782,"A89.297.378",4.3504235999999999e+01,3.5446933000000001e+01,8.5053029999999996e+00,"9F4D59"
13784,"Z50.303.387",4.4483609999999999e+01,3.8215038000000000e+01,-5.0222379999999998e+00,"A04E72"
13785,"Y58.290.383",4.4045090999999999e+01,3.4836998000000001e+01,-1.3509724000000000e+01,"95517E"
13786,"X57.270.378",4.3562874000000001e+01,2.8383552000000002e+01,-2.0910989000000001e+01,"855689"
13787,"W18.282.382",4.3925553999999998e+01,1.9261610999999998e+01,-2.9860296999999999e+01,"6E5F98"
13789,"T86.360.396",4.5363906999999998e+01,-1.1786950000000000e+00,-3.4248659000000004e+01,"366FA3"
13796,"D52.401.461",5.1813924999999998e+01,2.6784821999999998e+01,3.5295836000000001e+01,"B4683F"
13797,"D24.394.451",5.0805221000000003e+01,2.9214987000000001e+01,3.3198022999999999e+01,"B46441"
13798,"C69.356.428",4.8527659000000000e+01,3.1264932999999999e+01,2.6693959000000000e+01,"AE5D47"
13799,"C30.348.408",4.6564155000000000e+01,3.3554915000000001e+01,2.3112106000000001e+01,"AA5649"
13801,"R77.528.382",4.3918635000000002e+01,-2.1059317000000000e+01,-3.1916108999999999e+01,"00749B"
13802,"Q43.519.395",4.5242379000000000e+01,-3.1826308999999998e+01,-2.3613619000000000e+01,"007A91"
13803,"P75.511.395",4.5205497000000001e+01,-3.6244881999999997e+01,-1.7942330999999999e+01,"007B87"
13804,"P35.529.382",4.3951577000000000e+01,-3.9290734999999998e+01,-1.4595186999999999e+01,"00797E"
13805,"N87.539.424",4.8131740999999998e+01,-4.5216040999999997e+01,-1.0547116000000001e+01,"008582"
13806,"N60.533.406",4.6387340999999999e+01,-4.4828375000000001e+01,-7.1083600000000002e+00,"008078"
13807,"N33.516.400",4.5768650000000001e+01,-4.3975299000000000e+01,-3.8362930000000000e+00,"007E71"
13808,"N03.550.405",4.6263348000000001e+01,-4.8027014999999999e+01,-4.7782700000000000e-01,"00816C"
13810,"M35.611.398",4.5595568000000000e+01,-5.3806713999999999e+01,9.2191589999999994e+00,"00805A"
13811,"L57.529.400",4.5701887999999997e+01,-4.5630954000000003e+01,1.7878601000000000e+01,"007E4C"
13812,"K97.496.396",4.5381385000000002e+01,-3.9666455999999997e+01,2.3285872000000001e+01,"207B42"
13813,"K26.485.426",4.8372337000000002e+01,-3.5129612000000002e+01,3.0573900999999999e+01,"41813C"
13814,"J33.461.430",4.8711689999999997e+01,-2.5154320999999999e+01,3.5875636999999998e+01,"5C7E33"
13815,"H40.502.461",5.1802196000000002e+01,-1.7686451999999999e+01,4.5861398000000001e+01,"758225"
13816,"H07.486.490",5.4782260000000001e+01,-1.3735302000000001e+01,4.7298070000000003e+01,"84882A"
13817,"G69.513.497",5.5429578999999997e+01,-9.4166989999999995e+00,5.1208258999999998e+01,"8E8822"
13818,"G47.517.514",5.7124009999999998e+01,-6.5995070000000000e+00,5.3094119999999997e+01,"978A23"
13819,"G16.523.501",5.5846713999999999e+01,-2.2970739999999998e+00,5.2870581999999999e+01,"9A8520"
13821,"B46.403.297",3.5411383000000001e+01,4.0569097999999997e+01,1.6347414000000001e+01,"91333B"
13822,"A91.376.306",3.6395586999999999e+01,4.1136721000000001e+01,1.0004057000000000e+01,"933547"
13823,"A02.384.291",3.4896295000000002e+01,4.3432062000000002e+01,2.8115699999999999e-01,"8E2F52"
13824,"Z43.394.260",3.1738640000000000e+01,4.3193119000000003e+01,-6.4201020000000000e+00,"832855"
13825,"Y31.364.267",3.2461993000000000e+01,3.8045988000000001e+01,-1.7948547999999999e+01,"783268"
13826,"X37.330.308",3.6561059000000000e+01,3.1488659999999999e+01,-2.5794028000000001e+01,"74447F"
13827,"W30.358.280",3.3755794000000002e+01,2.3791841999999999e+01,-3.4468079000000003e+01,"574485"
13828,"V20.399.312",3.6914946000000000e+01,1.3101145000000001e+01,-4.0087224999999997e+01,"3E5397"
13829,"T95.475.315",3.7294995000000000e+01,-4.6379199999999998e-01,-4.2476688000000003e+01,"005C9B"
13830,"S97.488.346",4.0327606000000003e+01,-1.0186537000000000e+01,-3.7104657000000003e+01,"00679A"
13831,"F53.561.525",5.8218592000000001e+01,7.1559309999999998e+00,5.8210200000000000e+01,"B08519"
13832,"F13.528.523",5.8093580000000003e+01,1.2649367000000000e+01,5.4949907000000003e+01,"B78223"
13834,"E23.520.464",5.2191896999999997e+01,2.4240044999999999e+01,4.8777017000000001e+01,"B46B25"
13838,"C92.455.387",4.4499130999999998e+01,3.5284241999999999e+01,3.3988157999999999e+01,"A94F32"
13840,"C01.404.322",3.7914425000000001e+01,3.7630571000000003e+01,2.1936440999999999e+01,"963C37"
13841,"L62.699.329",3.8682082000000001e+01,-5.3950313999999999e+01,2.0283401000000001e+01,"006E37"
13843,"K21.583.412",4.6988748000000001e+01,-4.0844489000000003e+01,3.6425013000000000e+01,"317F2D"
13844,"J23.564.419",4.7617975999999999e+01,-2.9095891999999999e+01,4.3896321999999998e+01,"547C1E"
13845,"H45.540.447",5.0408177999999999e+01,-1.9215599999999998e+01,4.8146856999999997e+01,"6F7F1B"
13846,"H09.543.448",5.0559764000000001e+01,-1.4726222000000000e+01,4.9846007000000000e+01,"787E17"
13847,,,,,
13848,"G36.593.495",5.5204059999999998e+01,-5.7610150000000004e+00,5.9432746000000002e+01,"958501"
13850,"V53.510.188",2.4537105000000000e+01,1.9467680999999999e+01,-4.5889502999999998e+01,"1A3480"
13851,"U36.485.210",2.6746741000000000e+01,3.9447619999999999e+00,-4.1213656999999998e+01,"00417E"
13852,"T01.521.331",3.8884563000000000e+01,-1.0415632000000000e+01,-3.9391098999999997e+01,"00649A"
13853,"E79.594.494",5.5164521000000001e+01,1.9383459999999999e+01,5.9273750999999997e+01,"B8760C"
13854,"E33.593.466",5.2314439999999998e+01,2.6091878000000001e+01,5.6075217000000002e+01,"B86911"
13855,"D95.594.429",4.8657263999999998e+01,3.0918019000000001e+01,5.2118599000000003e+01,"B35C14"
13856,"D65.576.415",4.7224559999999997e+01,3.4291775000000001e+01,4.8640580000000000e+01,"B2561A"
13857,"D34.575.393",4.5043573000000002e+01,3.8232582000000001e+01,4.5912989000000003e+01,"B04D1C"
13858,"C91.546.344",4.0112385000000003e+01,4.0261087000000003e+01,3.8445630000000001e+01,"A33E20"
13859,"C51.523.305",3.6278407999999999e+01,4.1683698999999997e+01,3.2324700999999997e+01,"983323"
13860,"C15.520.266",3.2306353999999999e+01,4.3535097000000000e+01,2.7608305000000001e+01,"8E2623"
13862,"SNN.024.595",6.5238104000000007e+01,-1.1208009999999999e+00,-1.9770179999999999e+00,"9B9FA1"
13863,"LNN.021.609",6.6603679999999997e+01,-2.3119399999999999e+00,1.2062070000000000e+00,"9FA39E"
13865,"GNN.029.608",6.6585336999999996e+01,-1.4405299999999999e-01,3.3595690000000000e+00,"A4A29B"
13866,"FNN.014.575",6.3267836000000003e+01,3.5530600000000001e-01,1.6372860000000000e+00,"9B9995"
13868,"M3N.040.568",6.2531351999999998e+01,-4.5095409999999996e+00,7.3800600000000005e-01,"8F9A95"
13869,"J7N.048.568",6.2536223999999997e+01,-3.7137970000000000e+00,4.1637430000000002e+00,"94998F"
13871,"G7N.074.558",6.1516544000000003e+01,-1.6597189999999999e+00,7.9879499999999997e+00,"989585"
13877,"R2N.072.544",6.0168509999999998e+01,-4.2382010000000001e+00,-4.7269160000000001e+00,"859498"
13878,"P9N.083.550",6.0705002000000000e+01,-6.8599740000000002e+00,-3.9446260000000000e+00,"819698"
13880,"N4N.077.554",6.1165303999999999e+01,-7.9667680000000001e+00,-9.1705800000000004e-01,"839894"
13881,"M3N.076.548",6.0593716000000001e+01,-8.2124129999999997e+00,1.3940850000000000e+00,"83978E"
13882,"K7N.082.546",6.0329062999999998e+01,-7.8120490000000000e+00,5.1780569999999999e+00,"879587"
13886,"G04.117.559",6.1627496000000001e+01,-1.3440900000000000e-01,1.2711360000000001e+01,"9E947D"
13897,"C1N.067.547",6.0469186000000001e+01,7.9156719999999998e+00,4.9490270000000001e+00,"A38D88"
13900,"P14.142.521",5.7813274999999997e+01,-1.3086281000000000e+01,-4.0370410000000003e+00,"6C9290"
13904,"J59.167.522",5.7972580999999998e+01,-1.1402984999999999e+01,1.4140148000000000e+01,"819071"
